"","Sno","Date","Time","State","ConfirmedIndianNational","ConfirmedForeignNational","Cured","Deaths","Confirmed"
"344",1686,"07/05/20","8:00 AM","Jharkhand","-","-",37,3,127
"345",1690,"07/05/20","8:00 AM","Madhya Pradesh","-","-",1099,185,3138
"346",1691,"07/05/20","8:00 AM","Maharashtra","-","-",3094,651,16758
"347",1695,"07/05/20","8:00 AM","Odisha","-","-",61,2,185
"348",1704,"07/05/20","8:00 AM","West Bengal","-","-",364,144,1456
"349",1711,"08/05/20","8:00 AM","Chhattisgarh","-","-",38,0,59
"350",1715,"08/05/20","8:00 AM","Gujarat","-","-",1709,425,7012
"351",1719,"08/05/20","8:00 AM","Jharkhand","-","-",41,3,132
"352",1723,"08/05/20","8:00 AM","Madhya Pradesh","-","-",1231,193,3252
"353",1724,"08/05/20","8:00 AM","Maharashtra","-","-",3301,694,17974
"354",1728,"08/05/20","8:00 AM","Odisha","-","-",62,2,219
"355",1737,"08/05/20","8:00 AM","West Bengal","-","-",364,151,1548
"356",1744,"09/05/20","8:00 AM","Chhattisgarh","-","-",38,0,59
"357",1748,"09/05/20","8:00 AM","Gujarat","-","-",1872,449,7402
"358",1752,"09/05/20","8:00 AM","Jharkhand","-","-",52,3,132
"359",1756,"09/05/20","8:00 AM","Madhya Pradesh","-","-",1349,200,3341
"360",1757,"09/05/20","8:00 AM","Maharashtra","-","-",3470,731,19063
"361",1761,"09/05/20","8:00 AM","Odisha","-","-",63,2,271
"362",1770,"09/05/20","8:00 AM","West Bengal","-","-",364,160,1678
"363",1777,"10/05/20","8:00 AM","Chhattisgarh","-","-",43,0,59
"364",1781,"10/05/20","8:00 AM","Gujarat","-","-",2091,472,7796
"365",1785,"10/05/20","8:00 AM","Jharkhand","-","-",78,3,156
"366",1789,"10/05/20","8:00 AM","Madhya Pradesh","-","-",1676,215,3614
"367",1790,"10/05/20","8:00 AM","Maharashtra","-","-",3800,779,20228
"368",1794,"10/05/20","8:00 AM","Odisha","-","-",63,2,294
"369",1803,"10/05/20","8:00 AM","West Bengal","-","-",372,171,1786
"370",1810,"11/05/20","8:00 AM","Chhattisgarh","-","-",49,0,59
"371",1814,"11/05/20","8:00 AM","Gujarat","-","-",2545,493,8194
"372",1818,"11/05/20","8:00 AM","Jharkhand","-","-",78,3,157
"373",1822,"11/05/20","8:00 AM","Madhya Pradesh","-","-",1676,215,3614
"374",1823,"11/05/20","8:00 AM","Maharashtra","-","-",4199,832,22171
"375",1827,"11/05/20","8:00 AM","Odisha","-","-",68,3,377
"376",1836,"11/05/20","8:00 AM","West Bengal","-","-",417,185,1939
"377",1843,"12/05/20","8:00 AM","Chhattisgarh","-","-",53,0,59
"378",1847,"12/05/20","8:00 AM","Gujarat","-","-",2780,513,8541
"379",1851,"12/05/20","8:00 AM","Jharkhand","-","-",78,3,160
"380",1855,"12/05/20","8:00 AM","Madhya Pradesh","-","-",1747,221,3785
"381",1856,"12/05/20","8:00 AM","Maharashtra","-","-",4786,868,23401
"382",1860,"12/05/20","8:00 AM","Odisha","-","-",85,3,414
"383",1869,"12/05/20","8:00 AM","West Bengal","-","-",499,190,2063
"384",1876,"13/05/20","8:00 AM","Chhattisgarh","-","-",54,0,59
"385",1880,"13/05/20","8:00 AM","Gujarat","-","-",3246,537,8903
"386",1884,"13/05/20","8:00 AM","Jharkhand","-","-",79,3,172
"387",1888,"13/05/20","8:00 AM","Madhya Pradesh","-","-",1860,225,3986
"388",1889,"13/05/20","8:00 AM","Maharashtra","-","-",5125,921,24427
"389",1893,"13/05/20","8:00 AM","Odisha","-","-",116,3,437
"390",1902,"13/05/20","8:00 AM","West Bengal","-","-",612,198,2173
"391",1909,"14/05/20","8:00 AM","Chhattisgarh","-","-",55,0,59
"392",1913,"14/05/20","8:00 AM","Gujarat","-","-",3562,566,9267
"393",1917,"14/05/20","8:00 AM","Jharkhand","-","-",79,3,173
"394",1921,"14/05/20","8:00 AM","Madhya Pradesh","-","-",2004,232,4173
"395",1922,"14/05/20","8:00 AM","Maharashtra","-","-",5547,975,25922
"396",1926,"14/05/20","8:00 AM","Odisha","-","-",143,3,538
"397",1935,"14/05/20","8:00 AM","West Bengal","-","-",702,207,2290
"398",1942,"15/05/20","8:00 AM","Chhattisgarh","-","-",56,0,60
"399",1946,"15/05/20","8:00 AM","Gujarat","-","-",3753,586,9591
"400",1950,"15/05/20","8:00 AM","Jharkhand","-","-",87,3,197
"401",1954,"15/05/20","8:00 AM","Madhya Pradesh","-","-",2171,237,4426
"402",1955,"15/05/20","8:00 AM","Maharashtra","-","-",6059,1019,27524
"403",1959,"15/05/20","8:00 AM","Odisha","-","-",158,3,611
"404",1968,"15/05/20","8:00 AM","West Bengal","-","-",768,215,2377
"405",1975,"16/05/20","8:00 AM","Chhattisgarh","-","-",56,0,66
"406",1979,"16/05/20","8:00 AM","Gujarat","-","-",4035,606,9931
"407",1983,"16/05/20","8:00 AM","Jharkhand","-","-",87,3,203
"408",1987,"16/05/20","8:00 AM","Madhya Pradesh","-","-",2283,239,4595
"409",1988,"16/05/20","8:00 AM","Maharashtra","-","-",6564,1068,29100
"410",1992,"16/05/20","8:00 AM","Odisha","-","-",166,3,672
"411",2001,"16/05/20","8:00 AM","West Bengal","-","-",829,225,2461
"412",2008,"17/05/20","8:00 AM","Chhattisgarh","-","-",56,0,67
"413",2012,"17/05/20","8:00 AM","Gujarat","-","-",4308,625,10988
"414",2016,"17/05/20","8:00 AM","Jharkhand","-","-",113,3,217
"415",2020,"17/05/20","8:00 AM","Madhya Pradesh","-","-",2315,243,4789
"416",2021,"17/05/20","8:00 AM","Maharashtra","-","-",7088,1135,30706
"417",2025,"17/05/20","8:00 AM","Odisha","-","-",196,3,737
"418",2034,"17/05/20","8:00 AM","West Bengal","-","-",872,232,2576
"419",2041,"18/05/20","8:00 AM","Chhattisgarh","-","-",59,0,86
"420",2045,"18/05/20","8:00 AM","Gujarat","-","-",4499,659,11379
"421",2049,"18/05/20","8:00 AM","Jharkhand","-","-",113,3,223
"422",2053,"18/05/20","8:00 AM","Madhya Pradesh","-","-",2403,248,4977
"423",2054,"18/05/20","8:00 AM","Maharashtra","-","-",7688,1198,33053
"424",2058,"18/05/20","8:00 AM","Odisha","-","-",220,4,828
"425",2067,"18/05/20","8:00 AM","West Bengal","-","-",959,238,2677
"426",2074,"19/05/20","8:00 AM","Chhattisgarh","-","-",59,0,93
"427",2078,"19/05/20","8:00 AM","Gujarat","-","-",4804,694,11745
"428",2082,"19/05/20","8:00 AM","Jharkhand","-","-",113,3,223
"429",2086,"19/05/20","8:00 AM","Madhya Pradesh","-","-",2435,252,5236
"430",2087,"19/05/20","8:00 AM","Maharashtra","-","-",8437,1249,35058
"431",2091,"19/05/20","8:00 AM","Odisha","-","-",220,4,876
"432",2100,"19/05/20","8:00 AM","West Bengal","-","-",1006,244,2825
"433",2107,"20/05/20","8:00 AM","Chhattisgarh","-","-",59,0,101
"434",2111,"20/05/20","8:00 AM","Gujarat","-","-",5043,719,12140
"435",2115,"20/05/20","8:00 AM","Jharkhand","-","-",127,3,231
"436",2119,"20/05/20","8:00 AM","Madhya Pradesh","-","-",2630,258,5465
"437",2120,"20/05/20","8:00 AM","Maharashtra","-","-",9639,1325,37136
"438",2124,"20/05/20","8:00 AM","Odisha","-","-",277,5,978
"439",2133,"20/05/20","8:00 AM","West Bengal","-","-",1074,250,2961
"440",2141,"21/05/20","8:00 AM","Chhattisgarh","-","-",59,0,115
"441",2145,"21/05/20","8:00 AM","Gujarat","-","-",5219,749,12537
"442",2149,"21/05/20","8:00 AM","Jharkhand","-","-",127,3,231
"443",2153,"21/05/20","8:00 AM","Madhya Pradesh","-","-",2733,267,5735
"444",2154,"21/05/20","8:00 AM","Maharashtra","-","-",10318,1390,39297
"445",2158,"21/05/20","8:00 AM","Odisha","-","-",307,6,1052
"446",2167,"21/05/20","8:00 AM","West Bengal","-","-",1136,253,3103
"447",2175,"22/05/20","8:00 AM","Chhattisgarh","-","-",59,0,128
"448",2179,"22/05/20","8:00 AM","Gujarat","-","-",5488,773,12905
"449",2183,"22/05/20","8:00 AM","Jharkhand","-","-",129,3,290
"450",2187,"22/05/20","8:00 AM","Madhya Pradesh","-","-",2843,270,5981
"451",2188,"22/05/20","8:00 AM","Maharashtra","-","-",11726,1454,41642
"452",2192,"22/05/20","8:00 AM","Odisha","-","-",393,7,1103
"453",2201,"22/05/20","8:00 AM","West Bengal","-","-",1193,259,3197
"454",2209,"23/05/20","8:00 AM","Chhattisgarh","-","-",62,0,172
"455",2213,"23/05/20","8:00 AM","Gujarat","-","-",5880,802,13268
"456",2217,"23/05/20","8:00 AM","Jharkhand","-","-",136,3,308
"457",2221,"23/05/20","8:00 AM","Madhya Pradesh","-","-",3089,272,6170
"458",2222,"23/05/20","8:00 AM","Maharashtra","-","-",12583,1517,44582
"459",2226,"23/05/20","8:00 AM","Odisha","-","-",436,7,1189
"460",2235,"23/05/20","8:00 AM","West Bengal","-","-",1221,265,3332
"461",2243,"24/05/20","8:00 AM","Chhattisgarh","-","-",64,0,214
"462",2247,"24/05/20","8:00 AM","Gujarat","-","-",6169,829,13664
"463",2251,"24/05/20","8:00 AM","Jharkhand","-","-",141,4,350
"464",2255,"24/05/20","8:00 AM","Madhya Pradesh","-","-",3267,281,6371
"465",2256,"24/05/20","8:00 AM","Maharashtra","-","-",13404,1577,47190
"466",2260,"24/05/20","8:00 AM","Odisha","-","-",497,7,1269
"467",2270,"24/05/20","8:00 AM","West Bengal","-","-",1281,269,3459
"468",2278,"25/05/20","8:00 AM","Chhattisgarh","-","-",67,0,252
"469",2282,"25/05/20","8:00 AM","Gujarat","-","-",6412,858,14056
"470",2286,"25/05/20","8:00 AM","Jharkhand","-","-",148,4,370
"471",2290,"25/05/20","8:00 AM","Madhya Pradesh","-","-",3408,290,6665
"472",2291,"25/05/20","8:00 AM","Maharashtra","-","-",14600,1635,50231
"473",2295,"25/05/20","8:00 AM","Odisha","-","-",550,7,1336
"474",2305,"25/05/20","8:00 AM","West Bengal","-","-",1339,272,3667
"475",2313,"26/05/20","8:00 AM","Chhattisgarh","-","-",72,0,291
"476",2317,"26/05/20","8:00 AM","Gujarat","-","-",6636,888,14460
"477",2321,"26/05/20","8:00 AM","Jharkhand","-","-",148,4,377
"478",2325,"26/05/20","8:00 AM","Madhya Pradesh","-","-",3571,300,6859
"479",2326,"26/05/20","8:00 AM","Maharashtra","-","-",15786,1695,52667
"480",2331,"26/05/20","8:00 AM","Odisha","-","-",649,7,1438
"481",2341,"26/05/20","8:00 AM","West Bengal","-","-",1414,278,3816
"482",2349,"27/05/20","8:00 AM","Chhattisgarh","-","-",79,0,361
"483",2353,"27/05/20","8:00 AM","Gujarat","-","-",7139,915,14821
"484",2357,"27/05/20","8:00 AM","Jharkhand","-","-",175,4,426
"485",2361,"27/05/20","8:00 AM","Madhya Pradesh","-","-",3689,305,7024
"486",2362,"27/05/20","8:00 AM","Maharashtra","-","-",16954,1792,54758
"487",2367,"27/05/20","8:00 AM","Odisha","-","-",733,7,1517
"488",2377,"27/05/20","8:00 AM","West Bengal","-","-",1486,283,4009
"489",2385,"28/05/20","8:00 AM","Chhattisgarh","-","-",83,0,369
"490",2389,"28/05/20","8:00 AM","Gujarat","-","-",7549,938,15195
"491",2393,"28/05/20","8:00 AM","Jharkhand","-","-",185,4,448
"492",2397,"28/05/20","8:00 AM","Madhya Pradesh","-","-",3927,313,7261
"493",2398,"28/05/20","8:00 AM","Maharashtra","-","-",17918,1897,56948
"494",2403,"28/05/20","8:00 AM","Odisha","-","-",733,7,1593
"495",2413,"28/05/20","8:00 AM","West Bengal","-","-",1578,289,4192
"496",2421,"29/05/20","8:00 AM","Chhattisgarh","-","-",83,0,399
"497",2425,"29/05/20","8:00 AM","Gujarat","-","-",8003,960,15562
"498",2429,"29/05/20","8:00 AM","Jharkhand","-","-",212,4,469
"499",2433,"29/05/20","8:00 AM","Madhya Pradesh","-","-",4050,321,7453
"500",2434,"29/05/20","8:00 AM","Maharashtra","-","-",18616,1982,59546
"501",2439,"29/05/20","8:00 AM","Odisha","-","-",887,7,1660
"502",2449,"29/05/20","8:00 AM","West Bengal","-","-",1668,295,4536
"503",2457,"30/05/20","8:00 AM","Chhattisgarh","-","-",100,1,415
"504",2461,"30/05/20","8:00 AM","Gujarat","-","-",8611,980,15934
"505",2465,"30/05/20","8:00 AM","Jharkhand","-","-",216,5,511
"506",2469,"30/05/20","8:00 AM","Madhya Pradesh","-","-",4269,334,7645
"507",2470,"30/05/20","8:00 AM","Maharashtra","-","-",26997,2098,62228
"508",2475,"30/05/20","8:00 AM","Odisha","-","-",887,7,1723
"509",2485,"30/05/20","8:00 AM","West Bengal","-","-",1775,302,4813
"510",2493,"31/05/20","8:00 AM","Chhattisgarh","-","-",102,1,447
"511",2497,"31/05/20","8:00 AM","Gujarat","-","-",9230,1007,16343
"512",2501,"31/05/20","8:00 AM","Jharkhand","-","-",256,5,563
"513",2505,"31/05/20","8:00 AM","Madhya Pradesh","-","-",4444,343,7891
"514",2506,"31/05/20","8:00 AM","Maharashtra","-","-",28081,2197,65168
"515",2511,"31/05/20","8:00 AM","Odisha","-","-",1050,7,1819
"516",2521,"31/05/20","8:00 AM","West Bengal","-","-",1970,309,5130
"517",2529,"01/06/20","8:00 AM","Chhattisgarh","-","-",115,1,498
"518",2533,"01/06/20","8:00 AM","Gujarat","-","-",9919,1038,16779
"519",2537,"01/06/20","8:00 AM","Jharkhand","-","-",256,5,610
"520",2541,"01/06/20","8:00 AM","Madhya Pradesh","-","-",4842,350,8089
"521",2542,"01/06/20","8:00 AM","Maharashtra","-","-",29329,2286,67655
"522",2547,"01/06/20","8:00 AM","Odisha","-","-",1126,7,1948
"523",2557,"01/06/20","8:00 AM","West Bengal","-","-",2157,317,5501
"524",2565,"02/06/20","8:00 AM","Chhattisgarh","-","-",122,1,547
"525",2569,"02/06/20","8:00 AM","Gujarat","-","-",10780,1063,17200
"526",2573,"02/06/20","8:00 AM","Jharkhand","-","-",296,5,659
"527",2577,"02/06/20","8:00 AM","Madhya Pradesh","-","-",5003,358,8283
"528",2578,"02/06/20","8:00 AM","Maharashtra","-","-",30108,2362,70013
"529",2583,"02/06/20","8:00 AM","Odisha","-","-",1245,7,2104
"530",2593,"02/06/20","8:00 AM","West Bengal","-","-",2306,325,5772
"531",2601,"03/06/20","8:00 AM","Chhattisgarh","-","-",130,1,564
"532",2605,"03/06/20","8:00 AM","Gujarat","-","-",11894,1092,17617
"533",2609,"03/06/20","8:00 AM","Jharkhand","-","-",320,5,712
"534",2613,"03/06/20","8:00 AM","Madhya Pradesh","-","-",5221,364,8420
"535",2614,"03/06/20","8:00 AM","Maharashtra","-","-",31333,2465,72300
"536",2619,"03/06/20","8:00 AM","Odisha","-","-",1325,7,2245
"537",2629,"03/06/20","8:00 AM","West Bengal","-","-",2410,335,6168
"538",2637,"04/06/20","8:00 AM","Chhattisgarh","-","-",188,2,668
"539",2641,"04/06/20","8:00 AM","Gujarat","-","-",12212,1122,18100
"540",2645,"04/06/20","8:00 AM","Jharkhand","-","-",321,5,752
"541",2649,"04/06/20","8:00 AM","Madhya Pradesh","-","-",5445,371,8588
"542",2650,"04/06/20","8:00 AM","Maharashtra","-","-",32329,2587,74860
"543",2655,"04/06/20","8:00 AM","Odisha","-","-",1416,7,2388
"544",2665,"04/06/20","8:00 AM","West Bengal","-","-",2580,345,6508
"545",2673,"05/06/20","8:00 AM","Chhattisgarh","-","-",213,2,756
"546",2677,"05/06/20","8:00 AM","Gujarat","-","-",12667,1155,18584
"547",2681,"05/06/20","8:00 AM","Jharkhand","-","-",354,6,793
"548",2685,"05/06/20","8:00 AM","Madhya Pradesh","-","-",5637,377,8762
"549",2686,"05/06/20","8:00 AM","Maharashtra","-","-",33681,2710,77793
"550",2691,"05/06/20","8:00 AM","Odisha","-","-",1416,7,2478
"551",2701,"05/06/20","8:00 AM","West Bengal","-","-",2768,355,6876
"552",2709,"06/06/20","8:00 AM","Chhattisgarh","-","-",244,2,879
"553",2713,"06/06/20","8:00 AM","Gujarat","-","-",13003,1190,19094
"554",2717,"06/06/20","8:00 AM","Jharkhand","-","-",410,7,881
"555",2721,"06/06/20","8:00 AM","Madhya Pradesh","-","-",5878,384,8996
"556",2722,"06/06/20","8:00 AM","Maharashtra","-","-",35156,2849,80229
"557",2727,"06/06/20","8:00 AM","Odisha","-","-",1604,8,2608
"558",2737,"06/06/20","8:00 AM","West Bengal","-","-",2912,366,7303
"559",2745,"07/06/20","8:00 AM","Chhattisgarh","-","-",266,4,923
"560",2749,"07/06/20","8:00 AM","Gujarat","-","-",13316,1219,19592
"561",2753,"07/06/20","8:00 AM","Jharkhand","-","-",473,7,1000
"562",2757,"07/06/20","8:00 AM","Madhya Pradesh","-","-",6108,399,9228
"563",2758,"07/06/20","8:00 AM","Maharashtra","-","-",37390,2969,82968
"564",2763,"07/06/20","8:00 AM","Odisha","-","-",1716,8,2781
"565",2773,"07/06/20","8:00 AM","West Bengal","-","-",3119,383,7738
"566",2781,"08/06/20","8:00 AM","Chhattisgarh","-","-",283,4,1073
"567",2785,"08/06/20","8:00 AM","Gujarat","-","-",13635,1249,20070
"568",2789,"08/06/20","8:00 AM","Jharkhand","-","-",490,7,1099
"569",2793,"08/06/20","8:00 AM","Madhya Pradesh","-","-",6331,412,9401
"570",2794,"08/06/20","8:00 AM","Maharashtra","-","-",39314,3060,85975
"571",2799,"08/06/20","8:00 AM","Odisha","-","-",1894,9,2856
"572",2809,"08/06/20","8:00 AM","West Bengal","-","-",3303,396,8187
"573",2817,"09/06/20","8:00 AM","Chhattisgarh","-","-",308,4,1160
"574",2821,"09/06/20","8:00 AM","Gujarat","-","-",13956,1280,20545
"575",2825,"09/06/20","8:00 AM","Jharkhand","-","-",519,7,1256
"576",2829,"09/06/20","8:00 AM","Madhya Pradesh","-","-",6536,414,9638
"577",2830,"09/06/20","8:00 AM","Maharashtra","-","-",40975,3169,88528
"578",2835,"09/06/20","8:00 AM","Odisha","-","-",1993,9,2994
"579",2845,"09/06/20","8:00 AM","West Bengal","-","-",3465,405,8613
"580",2853,"10/06/20","8:00 AM","Chhattisgarh","-","-",386,6,1240
"581",2857,"10/06/20","8:00 AM","Gujarat","-","-",14365,1313,21014
"582",2861,"10/06/20","8:00 AM","Jharkhand","-","-",559,8,1411
"583",2865,"10/06/20","8:00 AM","Madhya Pradesh","-","-",6729,420,9849
"584",2866,"10/06/20","8:00 AM","Maharashtra","-","-",42638,3289,90787
"585",2871,"10/06/20","8:00 AM","Odisha","-","-",2133,9,3140
"586",2881,"10/06/20","8:00 AM","West Bengal","-","-",3620,415,8985
"587",2889,"11/06/20","8:00 AM","Chhattisgarh","-","-",402,6,1262
"588",2894,"11/06/20","8:00 AM","Gujarat","-","-",14735,1347,21521
"589",2898,"11/06/20","8:00 AM","Jharkhand","-","-",592,8,1489
"590",2902,"11/06/20","8:00 AM","Madhya Pradesh","-","-",6892,427,10049
"591",2903,"11/06/20","8:00 AM","Maharashtra","-","-",44517,3438,94041
"592",2908,"11/06/20","8:00 AM","Odisha","-","-",2282,9,3250
"593",2918,"11/06/20","8:00 AM","West Bengal","-","-",3779,432,9328
"594",2926,"12/06/20","8:00 AM","Chhattisgarh","-","-",447,6,1398
"595",2930,"12/06/20","8:00 AM","Gujarat","-","-",15101,1385,22032
"596",2934,"12/06/20","8:00 AM","Jharkhand","-","-",630,8,1599
"597",2938,"12/06/20","8:00 AM","Madhya Pradesh","-","-",7042,431,10241
"598",2939,"12/06/20","8:00 AM","Maharashtra","-","-",46078,3590,97648
"599",2944,"12/06/20","8:00 AM","Odisha","-","-",2354,9,3386
"600",2954,"12/06/20","8:00 AM","West Bengal","-","-",3988,442,9768
"601",2962,"13/06/20","8:00 AM","Chhattisgarh","-","-",550,6,1429
"602",2966,"13/06/20","8:00 AM","Gujarat","-","-",15493,1415,22527
"603",2970,"13/06/20","8:00 AM","Jharkhand","-","-",672,8,1617
"604",2974,"13/06/20","8:00 AM","Madhya Pradesh","-","-",7201,440,10443
"605",2975,"13/06/20","8:00 AM","Maharashtra","-","-",47796,3717,101141
"606",2980,"13/06/20","8:00 AM","Odisha","-","-",2474,10,3498
"607",2990,"13/06/20","8:00 AM","West Bengal","-","-",4206,451,10244
"608",2998,"14/06/20","8:00 AM","Chhattisgarh","-","-",631,6,1512
"609",3002,"14/06/20","8:00 AM","Gujarat","-","-",15883,1448,23038
"610",3006,"14/06/20","8:00 AM","Jharkhand","-","-",816,8,1711
"611",3010,"14/06/20","8:00 AM","Madhya Pradesh","-","-",7377,447,10641
"612",3011,"14/06/20","8:00 AM","Maharashtra","-","-",49346,3830,104568
"613",3016,"14/06/20","8:00 AM","Odisha","-","-",2594,10,3723
"614",3026,"14/06/20","8:00 AM","West Bengal","-","-",4542,463,10698
"615",3034,"15/06/20","8:00 AM","Chhattisgarh","-","-",763,8,1662
"616",3038,"15/06/20","8:00 AM","Gujarat","-","-",16325,1477,23544
"617",3042,"15/06/20","8:00 AM","Jharkhand","-","-",905,8,1745
"618",3046,"15/06/20","8:00 AM","Madhya Pradesh","-","-",7677,459,10802
"619",3047,"15/06/20","8:00 AM","Maharashtra","-","-",50978,3950,107958
"620",3052,"15/06/20","8:00 AM","Odisha","-","-",2708,11,3909
"621",3062,"15/06/20","8:00 AM","West Bengal","-","-",5060,475,11087
"622",3070,"16/06/20","8:00 AM","Chhattisgarh","-","-",890,8,1756
"623",3074,"16/06/20","8:00 AM","Gujarat","-","-",16664,1505,24055
"624",3078,"16/06/20","8:00 AM","Jharkhand","-","-",905,8,1763
"625",3082,"16/06/20","8:00 AM","Madhya Pradesh","-","-",7903,465,10935
"626",3083,"16/06/20","8:00 AM","Maharashtra","-","-",56049,4128,110744
"627",3088,"16/06/20","8:00 AM","Odisha","-","-",2854,11,4055
"628",3098,"16/06/20","8:00 AM","West Bengal","-","-",5494,485,11494
"629",3106,"17/06/20","8:00 AM","Chhattisgarh","-","-",1036,9,1781
"630",3110,"17/06/20","8:00 AM","Gujarat","-","-",17082,1533,24577
"631",3114,"17/06/20","8:00 AM","Jharkhand","-","-",1121,9,1839
"632",3118,"17/06/20","8:00 AM","Madhya Pradesh","-","-",8152,476,11083
"633",3119,"17/06/20","8:00 AM","Maharashtra","-","-",57851,5537,113445
"634",3124,"17/06/20","8:00 AM","Odisha","-","-",2974,11,4163
"635",3134,"17/06/20","8:00 AM","West Bengal","-","-",6028,495,11909
"636",3142,"18/06/20","8:00 AM","Chhattisgarh","-","-",1180,10,1864
"637",3146,"18/06/20","8:00 AM","Gujarat","-","-",17430,1560,25093
"638",3150,"18/06/20","8:00 AM","Jharkhand","-","-",1151,10,1895
"639",3154,"18/06/20","8:00 AM","Madhya Pradesh","-","-",8388,482,11244
"640",3155,"18/06/20","8:00 AM","Maharashtra","-","-",59166,5651,116752
"641",3160,"18/06/20","8:00 AM","Odisha","-","-",3047,11,4338
"642",3170,"18/06/20","8:00 AM","West Bengal","-","-",6533,506,12300
"643",3178,"19/06/20","8:00 AM","Chhattisgarh","-","-",1228,10,1946
"644",3182,"19/06/20","8:00 AM","Gujarat","-","-",17819,1591,25601
"645",3186,"19/06/20","8:00 AM","Jharkhand","-","-",1198,11,1920
"646",3190,"19/06/20","8:00 AM","Madhya Pradesh","-","-",8632,486,11426
"647",3191,"19/06/20","8:00 AM","Maharashtra","-","-",60838,5751,120504
"648",3196,"19/06/20","8:00 AM","Odisha","-","-",3144,11,4512
"649",3206,"19/06/20","8:00 AM","West Bengal","-","-",7001,518,12735
"650",3214,"20/06/20","8:00 AM","Chhattisgarh","-","-",1331,10,2028
"651",3218,"20/06/20","8:00 AM","Gujarat","-","-",18159,1618,26141
"652",3222,"20/06/20","8:00 AM","Jharkhand","-","-",1332,11,1965
"653",3226,"20/06/20","8:00 AM","Madhya Pradesh","-","-",8748,495,11582
"654",3227,"20/06/20","8:00 AM","Maharashtra","-","-",62773,5893,124331
"655",3232,"20/06/20","8:00 AM","Odisha","-","-",3297,11,4677
"656",3242,"20/06/20","8:00 AM","West Bengal","-","-",7303,529,13090
"657",3250,"21/06/20","8:00 AM","Chhattisgarh","-","-",1394,11,2041
"658",3254,"21/06/20","8:00 AM","Gujarat","-","-",18694,1638,26680
"659",3258,"21/06/20","8:00 AM","Jharkhand","-","-",1335,11,1965
"660",3262,"21/06/20","8:00 AM","Madhya Pradesh","-","-",8880,501,11724
"661",3263,"21/06/20","8:00 AM","Maharashtra","-","-",64153,5984,128205
"662",3268,"21/06/20","8:00 AM","Odisha","-","-",3534,12,4856
"663",3278,"21/06/20","8:00 AM","West Bengal","-","-",7865,540,13531
